movie_id,movie_title,release_date,video_release_date,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
26,Ill Gotten Gains (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Scream 2 (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,American Strays (1996),13-Sep-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Locusts, The (1997)",01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Eat Drink Man Woman (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Fly Away Home (1996),13-Sep-1996,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Love Affair (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,"Terminator, The (1984)",01-Jan-1984,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
35,Naked in New York (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Color of Night (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,Burnt Offerings (1976),01-Jan-1976,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,Naked (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,Black Sheep (1996),02-Feb-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Priest (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,"Next Karate Kid, The (1994)",01-Jan-1994,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,In the Line of Fire (1993),01-Jan-1993,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,What Happened Was... (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
44,"Gay Divorcee, The (1934)",01-Jan-1934,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
45,Heathers (1989),01-Jan-1989,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Bio-Dome (1996),01-Jan-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Sum of Us, The (1994)",01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Die xue shuang xiong (Killer, The) (1989)",01-Jan-1989,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,Harriet the Spy (1996),03-Jul-1996,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Apple Dumpling Gang, The (1975)",01-Jan-1975,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,Walking and Talking (1996),12-Jul-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",28-Jun-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
53,"Portrait of a Lady, The (1996)",27-Dec-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Under Siege (1992),01-Jan-1992,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Heaven & Earth (1993),01-Jan-1993,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
56,Emma (1996),02-Aug-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57,Far From Home: The Adventures of Yellow Dog (1995),01-Jan-1995,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Close Shave, A (1995)",28-Apr-1996,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59,"Journey of August King, The (1995)",22-Mar-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Swiss Family Robinson (1960),01-Jan-1960,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,For Ever Mozart (1996),04-Jul-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Turbo: A Power Rangers Movie (1997),28-Mar-1997,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Lion King, The (1994)",01-Jan-1994,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,"Bye Bye, Love (1995)",01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Bewegte Mann, Der (1994)",12-Jul-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Beavis and Butt-head Do America (1996),20-Dec-1996,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Boomerang (1992),01-Jan-1992,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
68,Crash (1996),21-Mar-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,"Grand Day Out, A (1992)",01-Jan-1992,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Purple Noon (1960),28-Jun-1960,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,"Sweet Hereafter, The (1997)",01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,"Contempt (M�pris, Le) (1963)",27-Jun-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Barbarella (1968),01-Jan-1968,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,"Big Sleep, The (1946)",01-Jan-1946,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
75,Drop Dead Fred (1991),01-Jan-1991,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76,Dream With the Fishes (1997),20-Jun-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,Bride of Frankenstein (1935),01-Jan-1935,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,My Left Foot (1989),01-Jan-1989,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,Dolores Claiborne (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,Bent (1997),18-Dec-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
81,I Know What You Did Last Summer (1997),17-Oct-1997,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
82,City of Industry (1997),14-Mar-1997,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
83,"Glimmer Man, The (1996)",04-Oct-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,An Unforgettable Summer (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,Until the End of the World (Bis ans Ende der Welt) (1991),01-Jan-1991,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
86,Fausto (1993),01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"Inkwell, The (1994)",01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
88,Hurricane Streets (1998),01-Jan-1998,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,"Road to Wellville, The (1994)",01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Pocahontas (1995),01-Jan-1995,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
91,"Frighteners, The (1996)",19-Jul-1996,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
92,Beverly Hills Ninja (1997),17-Jan-1997,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Conan the Barbarian (1981),01-Jan-1981,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Patton (1970),01-Jan-1970,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
95,Zeus and Roxanne (1997),10-Jan-1997,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Hoodlum (1997),22-Aug-1997,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
97,Vegas Vacation (1997),14-Feb-1997,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Ran (1985),01-Jan-1985,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
99,"Daytrippers, The (1996)",21-Mar-1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,Kundun (1997),25-Dec-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,"Nightmare Before Christmas, The (1993)",01-Jan-1993,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
102,Mr. Magoo (1997),25-Dec-1997,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,When a Man Loves a Woman (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,Aliens (1986),01-Jan-1986,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
105,She's the One (1996),23-Aug-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
106,Jaws (1975),01-Jan-1975,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,"Jungle Book, The (1994)",01-Jan-1994,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,Excess Baggage (1997),01-Jan-1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,Safe Passage (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,"Innocents, The (1961)",01-Jan-1961,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,Clear and Present Danger (1994),01-Jan-1994,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,Fierce Creatures (1997),10-Jan-1997,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,"Quiet Man, The (1952)",01-Jan-1952,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
114,"Young Poisoner's Handbook, The (1995)",23-Feb-1996,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,Vampire in Brooklyn (1995),01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
116,Cool Hand Luke (1967),01-Jan-1967,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,"Fox and the Hound, The (1981)",01-Jan-1981,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"Hudsucker Proxy, The (1994)",01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
119,"Graduate, The (1967)",01-Jan-1967,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,"Shadow, The (1994)",01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Just Cause (1995),01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,Rough Magic (1995),30-May-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
123,First Kid (1996),30-Aug-1996,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Sphere (1998),13-Feb-1998,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
125,Home Alone (1990),01-Jan-1990,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Father of the Bride (1950),01-Jan-1950,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Jason's Lyric (1994),01-Jan-1994,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
128,Nelly & Monsieur Arnaud (1995),12-Apr-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,"Unbearable Lightness of Being, The (1988)",01-Jan-1988,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,2001: A Space Odyssey (1968),01-Jan-1968,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
131,Kissed (1996),18-Apr-1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,If Lucy Fell (1996),08-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
133,Ulee's Gold (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Raiders of the Lost Ark (1981),01-Jan-1981,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"Turning, The (1992)",02-May-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,Underground (1995),29-Mar-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,Sirens (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
138,Mr. Jones (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
139,Anaconda (1997),11-Apr-1997,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,Trust (1990),01-Jan-1990,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
141,Condition Red (1995),01-Jan-1995,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
142,Nina Takes a Lover (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
143,"Last Time I Saw Paris, The (1954)",01-Jan-1954,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,Delicatessen (1991),01-Jan-1991,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
145,"Letter From Death Row, A (1998)",01-Feb-1998,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
146,Robocop 3 (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
147,M*A*S*H (1970),01-Jan-1970,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
148,Captives (1994),16-Sep-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,Amityville: Dollhouse (1996),01-Jan-1996,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,Total Eclipse (1995),01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,"Truman Show, The (1998)",01-Jan-1998,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,Sunset Blvd. (1950),01-Jan-1950,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,Little Odessa (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,Mars Attacks! (1996),13-Dec-1996,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
155,"Amazing Panda Adventure, The (1995)",01-Jan-1995,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Star Maps (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,Cat on a Hot Tin Roof (1958),01-Jan-1958,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Event Horizon (1997),01-Jan-1997,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
159,Female Perversions (1996),25-Apr-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Hoop Dreams (1994),01-Jan-1994,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,House Party 3 (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Highlander III: The Sorcerer (1994),01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,Once Were Warriors (1994),01-Jan-1994,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
164,"Wrong Trousers, The (1993)",01-Jan-1993,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Before the Rain (Pred dozhdot) (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,Tales from the Crypt Presents: Bordello of Blood (1996),19-Jul-1996,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,Jury Duty (1995),01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Sgt. Bilko (1996),29-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Wishmaster (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,S.F.W. (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,"Queen Margot (Reine Margot, La) (1994)",01-Jan-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
172,"House of Yes, The (1997)",01-Jan-1997,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
173,Guilty as Sin (1993),01-Jan-1993,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
174,Orlando (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,Milk Money (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
176,Flipper (1996),10-May-1996,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Mortal Kombat: Annihilation (1997),01-Jan-1997,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Out to Sea (1997),04-Jul-1997,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Star Trek: Generations (1994),01-Jan-1994,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,"War, The (1994)",01-Jan-1994,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,Smoke (1995),01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,"Wedding Gift, The (1994)",01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,Widows' Peak (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,Pollyanna (1960),01-Jan-1960,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
185,Tommy Boy (1995),01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"Specialist, The (1994)",01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Delta of Venus (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,Once Upon a Time in America (1984),01-Jan-1984,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
189,"American Werewolf in London, An (1981)",01-Jan-1981,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,Return of the Jedi (1983),14-Mar-1997,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
192,Soul Food (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,"Room with a View, A (1986)",01-Jan-1986,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
194,"C�r�monie, La (1995)",20-Dec-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
195,Dear God (1996),01-Nov-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",01-Jan-1993,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,In the Bleak Midwinter (1995),23-Feb-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Clean Slate (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Super Mario Bros. (1993),01-Jan-1993,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,Lightning Jack (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
201,Amityville 1992: It's About Time (1992),01-Jan-1992,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,Homeward Bound II: Lost in San Francisco (1996),08-Mar-1996,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"Hunt for Red October, The (1990)",01-Jan-1990,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,"Nightmare on Elm Street, A (1984)",01-Jan-1984,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,White Man's Burden (1995),01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,Half Baked (1998),16-Jan-1998,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",01-Jan-1991,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Night Flier (1997),06-Feb-1998,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
209,"Three Caballeros, The (1945)",01-Jan-1945,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,Tom & Viv (1994),01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
211,"Ballad of Narayama, The (Narayama Bushiko) (1958)",01-Jan-1958,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,Beyond Bedlam (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
213,Dial M for Murder (1954),01-Jan-1954,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
214,Hear My Song (1991),01-Jan-1991,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Dirty Dancing (1987),01-Jan-1987,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
216,Hard Target (1993),01-Jan-1993,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
217,Tie Me Up! Tie Me Down! (1990),01-Jan-1990,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218,"Red Firecracker, Green Firecracker (1994)",01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,Across the Sea of Time (1995),01-Jan-1995,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
